Bedrooms,Bathrooms,SquareFootageHouse,Location,Age,PoolQuality,HasPhotovoltaics,HeatingType,HasFiberglass,IsFurnished,DateSinceForSale,HouseColor,PreviousOwnerName,HasFireplace,KitchensQuality,BathroomsQuality,BedroomsQuality,LivingRoomsQuality,SquareFootageGarden,PreviousOwnerRating,HeatingCosts,WindowModelNames,Price
1.0,1.0,57.0,Rural,7.0,Excellent,,Gas,True,True,2020-10-25,Yellow,Florian,False,Good,Good,Excellent,Good,39.0,5.0,,IICU1 Wood PJS7VF,357.03435
2.0,2.0,92.0,Suburban,29.0,None,False,Electricity,False,False,2022-09-09,White,Sandra,False,Good,Good,Good,Excellent,5.0,2.62,,Steel 4LQ Window,119.93235
2.0,2.0,100.0,Suburban,36.0,Good,,Gas,False,True,2022-08-17,Green,Stefan,False,Excellent,Good,Poor,Good,15.0,2.4,99.0,7TN Wood R0XS7U,143.31661
5.0,2.0,150.0,Urban,51.0,Excellent,False,Gas,False,True,2021-09-20,Gray,,False,Good,Excellent,Excellent,Poor,39.0,2.68,,Z04Z Aluminum VNQYWOV,313.29877
,1.0,-289.0,Rural,62.0,None,,Electricity,True,True,2021-07-29,White,Sandra,False,Good,Poor,Good,Good,5.0,3.48,54.6,Steel RL0JBO,299.93697
1.0,,45.0,Urban,41.0,Excellent,False,Oil,False,True,2021-07-29,Green,,False,Good,Excellent,Excellent,Good,39.0,3.14,72.0,R5QY6 Wood WTAU,246.39964
1.0,,41.0,Suburbann,,None,False,Gas,False,True,2021-02-15,,Laura,False,Excellent,Good,Good,Poor,5.0,2.57,,Wood 2NE6BC9,68.58401
,3.0,122.0,Suburbann,,Good,True,Gas,True,True,2024-03-01,Gray,Denis,False,Good,Good,Good,Excellent,15.0,1.07,,ZTC Steel O33Z,203.62232
2.0,1.0,-831.0,Urban,,None,,Oil,True,False,2020-04-30,,Sabrina,False,Excellent,Excellent,Excellent,Good,5.0,4.84,,WDY1K Steel KYIAX9A,203.20304
1.0,2.0,91.0,Urban,,None,False,Electricity,False,False,2020-10-22,,Denis,False,Good,Poor,Good,Poor,5.0,3.21,52.8,Steel OD5H3,159.76985
3.0,1.0,116.0,Suburbann,49.0,None,False,Gas,False,True,2021-07-26,Green,,False,Good,Excellent,Excellent,Poor,5.0,1.54,116.0,Wood 0RD Window,134.75138
,1.0,105.0,Suburbann,14.0,Excellent,,Electric,False,True,2020-04-18,White,Johanna,False,Poor,Good,Excellent,Excellent,39.0,3.69,63.6,UK0 Steel 1X9Q,193.3992
1.0,1.0,25.0,Rural,49.0,None,False,Oil,False,True,2021-12-06,Yellow,Johanna,False,Good,Good,Poor,Good,5.0,3.27,43.2,Aluminum MZE6WV Window,88.48098
2.0,1.0,81.0,Suburbann,45.0,None,,Gas,True,True,2020-05-23,Gray,Natalie,False,Poor,Excellent,Excellent,Excellent,5.0,1.38,,0DI Aluminum 9DDM4O,87.63632
2.0,2.0,82.0,Urban,,Poor,,Gas,False,True,2021-08-24,White,Florian,False,Good,Good,Good,Poor,11.0,1.61,81.0,WDN1MUL Wood 94J Window,182.52828
1.0,1.0,43.0,Urban,55.0,None,,Oil Heating,False,True,2023-02-18,Gray,,False,Excellent,Excellent,Good,Good,5.0,3.0,67.2,YUH Wood 1YS05,157.11935
,2.0,76.0,Suburbann,44.0,Good,,Electric,True,False,2023-07-10,Green,Roman,False,Poor,Good,Poor,Excellent,15.0,3.15,-285.0,Steel ICXW Window,125.76187
1.0,1.0,22.0,Rural,33.0,None,False,Oil Heating,True,True,2023-09-14,Yellow,Laura,False,Excellent,Good,Good,Excellent,5.0,2.15,,W9GDRE Aluminum EBZ Window,127.37394
1.0,3.0,150.0,,32.0,Good,False,Electric,False,True,2024-01-09,Gray,Martin,False,Good,Good,Good,Excellent,15.0,2.63,88.8,RDWJ Wood LPMBK Window,166.49544
2.0,2.0,81.0,,33.0,Good,False,Gas,False,True,2020-11-05,Yellow,Johanna,False,Poor,Excellent,Excellent,Good,15.0,2.77,80.0,2E7ICFD Wood MX05UI Window,128.16949
1.0,1.0,28.0,Rural,49.0,None,,Oil,True,True,2023-03-17,,Andreas,False,Poor,Good,Good,Poor,5.0,3.57,44.8,8NNEUK3 Steel 5H5SJSR Window,249.53216
3.0,2.0,5490.0,,59.0,None,,Oil Heating,False,True,2020-08-27,,Roman,True,Poor,Poor,Excellent,Excellent,5.0,3.32,,DU4Y55R Steel VJG2,466.46731
2.0,1.0,139.0,Suburban,28.0,None,,Oil,False,False,2020-10-25,White,Daniel,False,Excellent,Good,Good,Good,5.0,3.7,,GGZDW Aluminum WA77TC3 Window,122.96546
1.0,1.0,52.0,,21.0,None,,Oil Heating,False,False,2023-06-17,Green,Natalie,False,Excellent,Good,Excellent,Good,5.0,2.1,80.0,QL9 Steel L2GQBN,271.50949
2.0,1.0,93.0,Suburbann,69.0,Good,,Gas,True,True,2020-04-09,Yellow,Sabrina,False,Excellent,Good,Good,Excellent,15.0,2.09,,68BJAGN Aluminum 03VGL Window,105.66332
1.0,,71.0,Suburbann,,None,False,Gas,False,True,2023-03-19,Yellow,Natalie,False,Good,Excellent,Excellent,Poor,5.0,2.43,,Aluminum OXG,62.70804
1.0,2.0,78.0,Suburbann,61.0,None,False,Oil,False,False,2022-06-09,Yellow,,False,Excellent,Excellent,Excellent,Good,5.0,2.48,123.2,V2C9P Aluminum V9I3 Window,81.5474
,1.0,23.0,Suburbann,33.0,,False,Electric,False,True,2022-04-16,,,False,Excellent,Good,Poor,Good,15.0,2.9,,Steel XZVB,112.94985
1.0,1.0,44.0,Rural,44.0,Good,False,Electricity,True,True,2021-05-28,Yellow,Theresa,False,Poor,Good,Good,Poor,15.0,1.7,26.4,Aluminum XDGSE Window,138.13368
